Product Name,Category,Unit Price (MUR),Quantity,Discount %,Sale Amount (MUR),Date of Sale,Time of Sale,Channel,Payment Method,Store Region,Customer Age,Customer ID,Transaction ID
Magazine Office,Beauty,1175.74,1,0.1,1058.17,2025-06-28,20:14:00,In-Store,Cash,Central,37,CUST-65299,TX-95849269
Modern Beat,Home & Kitchen,3118.71,2,0.0,6237.41,2024-12-09,13:01:00,In-Store,Card,West,24,CUST-33230,TX-69463244
Garden Remember,Clothing,2361.3,2,0.05,4486.46,2025-07-01,10:43:00,In-Store,Mobile Wallet,Central,35,CUST-80356,TX-10300916
Total Finish,Beauty,1230.06,2,0.0,2460.12,2025-07-16,12:01:00,Online,Cash,South,32,CUST-12768,TX-88790262
Without Senior,Stationery,680.47,5,0.0,3402.33,2025-05-01,13:28:00,In-Store,Card,North,42,CUST-48535,TX-55444626
Fly Floor,Sports,2358.76,2,0.05,4481.65,2025-06-24,09:46:00,Online,Mobile Wallet,North,25,CUST-46785,TX-17156062
Hot Support,Beauty,3205.94,1,0.0,3205.94,2025-08-18,18:50:00,In-Store,Mobile Wallet,North,41,CUST-82539,TX-24316566
Day Talk,Beauty,3296.44,2,0.05,6263.23,2025-07-10,14:22:00,In-Store,Cash,Central,51,CUST-87890,TX-68942223
Kind Security,Clothing,2539.79,1,0.05,2412.8,2025-07-29,14:26:00,In-Store,Card,West,33,CUST-12463,TX-99271337
Though System,Sports,3087.09,5,0.1,13891.91,2025-07-27,20:14:00,Online,Cash,East,28,CUST-34047,TX-83647422
Music Director,Toys,1579.03,2,0.0,3158.06,2025-06-13,11:12:00,In-Store,Mobile Wallet,South,31,CUST-39598,TX-32474287
Miss Which,Groceries,406.21,1,0.0,406.21,2025-05-12,16:51:00,In-Store,Cash,North,17,CUST-60632,TX-43876631
Safe Sing,Toys,1181.64,3,0.05,3367.67,2025-08-18,12:31:00,In-Store,Card,Central,29,CUST-19488,TX-50450076
Media Always,Clothing,1995.87,3,0.0,5987.62,2025-06-30,11:33:00,In-Store,Cash,West,34,CUST-44958,TX-21553327
As Or,Stationery,755.56,4,0.0,3022.26,2025-07-31,14:51:00,In-Store,Card,West,16,CUST-81377,TX-86224055
Audience Movement,Clothing,1387.72,1,0.05,1318.33,2025-07-30,17:47:00,Online,Cash,Central,35,CUST-62281,TX-41762314
Scene Six,Sports,3291.9,1,0.0,3291.9,2024-10-29,15:53:00,Online,Card,West,36,CUST-93276,TX-67094912
Music Really,Beauty,1129.97,2,0.1,2033.94,2025-08-09,09:01:00,In-Store,Cash,West,40,CUST-88097,TX-65915389
Son Mission,Groceries,262.8,7,0.05,1747.63,2025-04-23,19:58:00,In-Store,Cash,Central,25,CUST-80130,TX-44917514
I Science,Clothing,4238.61,2,0.2,6781.78,2025-05-18,19:46:00,In-Store,Mobile Wallet,North,25,CUST-26404,TX-26746751
Grow Pass,Stationery,772.84,6,0.1,4173.36,2025-06-29,16:36:00,Online,Card,South,33,CUST-73014,TX-70242703
Stock Have,Clothing,3479.47,2,0.0,6958.93,2024-10-03,17:02:00,In-Store,Cash,Central,25,CUST-58659,TX-47692540
Doctor Exist,Home & Kitchen,1910.55,2,0.0,3821.1,2025-02-19,14:28:00,In-Store,Card,West,28,CUST-67788,TX-43098745
Position Situation,Groceries,278.59,2,0.0,557.18,2025-06-22,19:50:00,In-Store,Card,East,31,CUST-72078,TX-86942848
Price Note,Sports,2959.19,3,0.0,8877.58,2025-08-18,11:41:00,In-Store,Card,North,30,CUST-89111,TX-78416343
Actually Try,Beauty,2065.58,3,0.2,4957.39,2025-05-04,14:39:00,In-Store,Card,North,38,CUST-62039,TX-37254211
Goal Recognize,Home & Kitchen,3272.77,4,0.0,13091.07,2025-02-23,12:00:00,Online,Card,West,27,CUST-87394,TX-39684942
Use Take,Electronics,11767.03,1,0.0,11767.03,2025-07-03,12:21:00,In-Store,Card,East,52,CUST-96408,TX-81851377
Book Either,Clothing,2907.22,4,0.0,11628.87,2025-06-22,17:53:00,In-Store,Cash,North,29,CUST-18175,TX-86763114
Build Mouth,Groceries,301.45,2,0.1,542.6,2024-09-30,15:11:00,Online,Mobile Wallet,South,55,CUST-29484,TX-79916621
Population Today,Clothing,5734.54,3,0.0,17203.62,2025-08-15,09:50:00,In-Store,Cash,East,21,CUST-66024,TX-19708041
Officer Hundred,Groceries,420.54,1,0.0,420.54,2024-10-02,15:35:00,In-Store,Cash,East,38,CUST-82524,TX-20489569
Pressure Spring,Stationery,547.09,3,0.1,1477.15,2025-07-27,15:22:00,Online,Mobile Wallet,North,44,CUST-13566,TX-16153606
Table Arrive,Toys,1916.07,3,0.0,5748.21,2025-06-24,19:40:00,In-Store,Cash,North,32,CUST-69174,TX-32086909
Strategy Executive,Sports,9000.0,5,0.0,45000.0,2025-08-02,12:22:00,In-Store,Mobile Wallet,South,38,CUST-75242,TX-57074188
Believe So,Toys,1343.89,3,0.05,3830.1,2025-07-30,15:47:00,Online,Card,East,38,CUST-87826,TX-34786848
Maintain Bad,Groceries,800.0,3,0.0,2400.0,2025-06-11,20:12:00,Online,Cash,West,38,CUST-95279,TX-74974013
Own Measure,Clothing,6000.0,3,0.0,18000.0,2025-05-27,16:55:00,In-Store,Mobile Wallet,Central,31,CUST-66176,TX-85900286
Lawyer Station,Beauty,4000.0,3,0.0,12000.0,2025-08-16,16:48:00,In-Store,Mobile Wallet,Central,26,CUST-10441,TX-76305858
Fish Market,Groceries,687.08,1,0.0,687.08,2025-07-21,19:35:00,Online,Cash,Central,16,CUST-48371,TX-61897410
Law Ten,Home & Kitchen,2144.68,3,0.2,5147.24,2024-12-20,19:47:00,In-Store,Cash,South,52,CUST-50447,TX-16480055
Country Central,Groceries,387.18,1,0.1,348.46,2025-08-10,12:25:00,In-Store,Mobile Wallet,North,46,CUST-48526,TX-19524571
Game Candidate,Sports,3954.94,1,0.05,3757.19,2024-08-21,12:22:00,Online,Card,West,18,CUST-76015,TX-10560942
National Visit,Beauty,4000.0,3,0.0,12000.0,2025-07-03,15:38:00,In-Store,Card,Central,35,CUST-38599,TX-75322848
Same Dog,Clothing,3431.37,3,0.0,10294.1,2025-08-18,12:20:00,In-Store,Card,West,34,CUST-46317,TX-89230728
Air Mrs,Toys,1563.45,2,0.0,3126.9,2024-10-20,14:41:00,Online,Card,East,41,CUST-14201,TX-93111278
Meet War,Electronics,15915.55,1,0.0,15915.55,2025-08-12,14:15:00,In-Store,Card,Central,24,CUST-16316,TX-63760803
Turn Senior,Electronics,10164.17,1,0.0,10164.17,2025-08-08,17:50:00,In-Store,Card,North,26,CUST-33550,TX-95133368
Hand Story,Groceries,401.55,2,0.0,803.11,2025-07-01,17:44:00,In-Store,Card,North,24,CUST-48225,TX-78514877
Off Little,Clothing,3137.03,2,0.1,5646.66,2024-11-16,15:48:00,Online,Cash,East,37,CUST-33744,TX-49946450
Collection Include,Electronics,11077.24,2,0.1,22929.9,2024-12-01,18:46:00,Online,Card,North,43,CUST-64895,TX-11275751
Here Partner,Groceries,800.0,2,0.0,1600.0,2025-07-30,20:19:00,In-Store,Card,West,20,CUST-98431,TX-80921092
Inside Will,Toys,776.2,2,0.05,1474.78,2025-06-27,12:05:00,Online,Card,North,39,CUST-13416,TX-75722235
Idea Size,Toys,1718.13,2,0.1,3092.64,2025-08-16,15:54:00,Online,Cash,East,43,CUST-73658,TX-78439614
Stop Race,Home & Kitchen,5716.74,4,0.0,22866.97,2025-05-28,20:43:00,In-Store,Card,Central,25,CUST-34787,TX-42813325
History Kind,Clothing,4240.62,1,0.0,4240.62,2025-06-04,12:22:00,In-Store,Card,North,23,CUST-80502,TX-30986739
Artist However,Electronics,16605.86,4,0.05,63102.26,2025-04-06,10:29:00,In-Store,Cash,Central,40,CUST-17066,TX-62783040
Government So,Sports,3707.14,1,0.0,3707.14,2024-12-11,12:13:00,In-Store,Card,Central,38,CUST-97940,TX-99494426
Chance Thought,Beauty,2323.18,2,0.0,4646.35,2025-03-01,15:38:00,In-Store,Card,South,42,CUST-78526,TX-81110453
Move Example,Groceries,752.59,2,0.05,1429.92,2025-07-30,14:50:00,In-Store,Card,Central,25,CUST-54908,TX-18014115
Hold Go,Beauty,1599.05,1,0.0,1599.05,2024-08-20,16:32:00,Online,Cash,East,37,CUST-53293,TX-60187145
Admit Lawyer,Clothing,6000.0,2,0.05,11400.0,2025-06-27,20:23:00,Online,Card,North,35,CUST-17112,TX-50696354
Dinner Into,Clothing,1985.72,2,0.0,4368.58,2024-12-12,17:39:00,In-Store,Cash,East,16,CUST-15477,TX-11903708
Difficult Stuff,Clothing,3942.86,2,0.05,7491.44,2024-11-14,19:43:00,In-Store,Card,West,36,CUST-52652,TX-79289297
Lot Option,Electronics,13624.37,2,0.0,27248.74,2024-10-10,14:00:00,In-Store,Cash,South,44,CUST-29496,TX-51912154
Probably Near,Toys,1524.27,4,0.0,6097.09,2025-07-09,11:24:00,Online,Card,South,42,CUST-90673,TX-37947285
Article This,Clothing,2710.02,1,0.05,2574.52,2025-07-14,20:42:00,Online,Card,East,22,CUST-38694,TX-68427764
Notice It,Groceries,200.2,4,0.0,800.79,2025-08-02,10:31:00,In-Store,Cash,South,48,CUST-28250,TX-82837770
Song Movie,Electronics,15316.32,3,0.0,45948.95,2025-05-26,13:50:00,In-Store,Card,East,31,CUST-17879,TX-36666740
Cultural Seek,Electronics,9316.27,2,0.0,18632.54,2025-02-12,20:07:00,In-Store,Card,Central,26,CUST-39619,TX-83633067
Like Hold,Home & Kitchen,5921.49,3,0.0,17764.47,2025-07-29,09:34:00,In-Store,Mobile Wallet,South,38,CUST-62374,TX-56775183
Sea Reason,Home & Kitchen,1800.78,4,0.0,7203.11,2025-08-03,10:47:00,In-Store,Card,West,51,CUST-42997,TX-19983594
Those Decision,Home & Kitchen,6746.47,3,0.0,20239.42,2025-04-29,09:52:00,In-Store,Cash,East,33,CUST-18904,TX-38160386
Democrat Table,Clothing,2366.76,1,0.05,2473.27,2024-12-07,11:25:00,Online,Card,North,26,CUST-76919,TX-82739581
Use Shoulder,Electronics,15059.55,3,0.0,51955.45,2024-12-10,14:52:00,Online,Card,East,43,CUST-37710,TX-21687558
Window Identify,Electronics,6467.66,2,0.0,12935.33,2025-08-08,18:00:00,In-Store,Card,West,39,CUST-47706,TX-19899555
History Daughter,Electronics,5510.22,2,0.0,11020.44,2025-05-28,15:53:00,Online,Mobile Wallet,Central,32,CUST-80363,TX-88860321
Prevent According,Groceries,601.93,2,0.15,1023.29,2025-07-06,15:16:00,In-Store,Card,North,50,CUST-97202,TX-65024291
From Cover,Sports,5156.36,1,0.1,4640.72,2025-08-15,12:43:00,Online,Cash,West,53,CUST-83927,TX-63176825
Father More,Toys,3000.0,1,0.2,2400.0,2025-03-23,15:24:00,In-Store,Card,North,44,CUST-45158,TX-11961167
Not Moment,Electronics,8796.6,1,0.0,8796.6,2025-05-29,14:13:00,In-Store,Cash,Central,40,CUST-65621,TX-95142489
Marriage Edge,Beauty,3218.67,3,0.05,9173.2,2025-05-11,14:16:00,In-Store,Card,East,16,CUST-39447,TX-23024844
Unit Wall,Clothing,5137.01,2,0.05,9760.31,2025-03-12,20:17:00,Online,Card,North,32,CUST-62977,TX-52029516
Party Peace,Sports,3584.24,5,0.0,17921.22,2025-08-17,11:28:00,In-Store,Card,West,16,CUST-13191,TX-20527671
